ChampionName,GamesPlayed,Win,KDA,kills,deaths,assists,GoldPerMin,DmgPerMin
TahmKench,269,0.5278810408921933,3.4431535129107838,4.342007434944238,6.159851301115242,9.319702602230484,325.89332412999033,603.9582794965495
Viktor,267,0.599250936329588,3.363896860526074,5.292134831460674,5.097378277153558,7.134831460674158,406.90034680708055,897.0419952441761
Zilean,267,0.49812734082397003,4.878572374358892,2.3670411985018727,4.3632958801498125,12.265917602996256,325.59073290212774,431.7636404220011
Akshan,265,0.5283018867924528,3.7362951932763253,9.69811320754717,6.120754716981132,5.652830188679245,453.14223118821025,856.2486295139793
Zyra,264,0.5303030303030303,3.0777657527657527,4.034090909090909,6.03030303030303,10.227272727272727,347.6373374114416,761.9918681100846
Zac,264,0.5113636363636364,5.641032052963871,5.261363636363637,5.242424242424242,11.772727272727273,396.0556132511614,671.7928587867308
Briar,263,0.5057034220532319,3.206038530792501,7.673003802281369,7.326996197718631,7.844106463878327,420.2850951122517,745.7871670215446
Ivern,263,0.5931558935361216,6.201988790677003,2.8250950570342206,4.475285171102661,15.02661596958175,368.83279524467054,421.31678293403724
TwistedFate,260,0.39615384615384613,3.2894299930838393,4.630769230769231,5.957692307692308,7.934615384615385,445.67161175812663,676.9446393628315
Camille,256,0.49609375,2.916656498883061,5.82421875,6.296875,6.01171875,410.0886990055929,806.4860672547259
Yuumi,253,0.5177865612648221,8.364312378442813,1.2529644268774704,3.5731225296442686,17.24110671936759,284.64634271958175,284.0342990510702
Gwen,249,0.4538152610441767,2.288034438787451,5.763052208835341,6.522088353413655,4.48995983935743,416.52025790982583,829.3710392026087
Swain,245,0.46938775510204084,3.3255431935292297,4.661224489795918,6.448979591836735,10.653061224489797,351.5707519006884,739.1918226368928
Kled,238,0.6134453781512605,3.3155596271142493,6.96218487394958,5.861344537815126,6.53781512605042,458.9508500867071,899.0097032598075
Samira,235,0.40425531914893614,2.749622872607854,9.957446808510639,7.8936170212765955,5.514893617021277,456.57882723612323,883.2033082879724
Kassadin,233,0.5064377682403434,3.740686792940012,7.381974248927039,5.381974248927039,5.665236051502146,425.5840835565196,797.2798678655062
Karthus,232,0.40948275862068967,3.157086352344973,7.706896551724138,7.681034482758621,9.616379310344827,444.6450521852563,1112.6558280516601
Olaf,231,0.5064935064935064,2.527288452995099,6.467532467532467,6.06926406926407,4.285714285714286,425.78038281787866,777.1929088964632
Udyr,226,0.5176991150442478,4.687907200960298,5.765486725663717,5.238938053097345,7.384955752212389,439.8983069171479,720.5524073619405
RekSai,222,0.5045045045045045,3.805944905944906,6.54054054054054,5.684684684684685,6.400900900900901,408.9916862749939,638.8951323504288
Illaoi,215,0.5441860465116279,2.3813849458035503,6.227906976744186,6.544186046511628,4.455813953488372,427.6136811843962,969.7576847398356
Gangplank,208,0.4855769230769231,3.7047100468975467,6.048076923076923,5.649038461538462,7.038461538461538,475.6390634710332,904.7597842748189
Tryndamere,207,0.4444444444444444,2.483809078736615,6.449275362318841,6.178743961352657,4.265700483091788,451.04802913031375,780.7036751851884
Kennen,204,0.4852941176470588,2.757841722547605,5.313725490196078,5.632352941176471,6.495098039215686,383.47162797697507,795.4165001224733
Heimerdinger,202,0.5594059405940595,3.056689336516069,5.975247524752476,6.143564356435643,6.420792079207921,405.325620046718,937.5864056138704
Evelynn,202,0.5247524752475248,4.748952724942824,8.806930693069306,5.554455445544554,6.900990099009901,397.70530568198893,701.0428698325169
Fiddlesticks,201,0.582089552238806,3.887493324806758,6.064676616915423,6.393034825870647,10.024875621890548,388.7617033592309,760.2531599976444
Vex,200,0.585,3.765188851181498,6.735,6.345,7.795,398.93193055743063,849.6076276721731
Anivia,192,0.5104166666666666,3.808141641344766,4.578125,4.677083333333333,7.489583333333333,386.1739345560049,669.5739140002287
Nilah,191,0.5445026178010471,2.8427135982109806,7.994764397905759,6.780104712041885,6.397905759162303,465.3702147442024,782.2184643620079
Rumble,187,0.4919786096256685,2.816782267049647,5.5828877005347595,5.737967914438503,7.235294117647059,398.9668008552473,905.6073308053956
AurelionSol,185,0.4864864864864865,3.030729885729886,6.578378378378378,6.718918918918919,8.508108108108107,411.9122983887301,794.9411068063067
Lillia,178,0.5056179775280899,4.302279384161407,5.544943820224719,5.331460674157303,8.702247191011235,410.97707585281205,730.4660098735305
Rammus,173,0.5086705202312138,5.084119624378039,4.670520231213873,5.161849710982659,11.624277456647398,371.4670950822095,499.91298004585883
Renata,172,0.5232558139534884,4.385165674119162,1.947674418604651,5.77906976744186,14.354651162790697,297.17182932451675,370.1123460369888
Sejuani,161,0.45962732919254656,4.680350084697911,4.559006211180124,4.75776397515528,10.602484472049689,378.0448292736295,554.7819272856642
Lissandra,151,0.5695364238410596,3.367805116149487,4.655629139072848,5.377483443708609,8.397350993377483,391.9731493353349,708.6504814342825
Maokai,144,0.5763888888888888,3.6596375460958797,2.9652777777777777,5.729166666666667,12.256944444444445,318.66661367035437,488.1640781235899
Annie,139,0.48201438848920863,2.6525530624451488,5.553956834532374,6.201438848920863,7.589928057553957,370.2244037335812,778.8434973370814
Skarner,131,0.4580152671755725,4.193548902327528,4.977099236641221,5.190839694656488,10.541984732824428,374.6234106145151,597.1954484885746
Belveth,122,0.5983606557377049,4.661450477908632,7.581967213114754,4.819672131147541,5.745901639344262,460.968062884263,597.5003949974148
Singed,106,0.4528301886792453,2.9590721909118134,4.273584905660377,6.783018867924528,9.047169811320755,401.4704646894662,722.2071482554514
Taric,97,0.41237113402061853,3.619608341257826,1.9484536082474226,7.350515463917525,16.567010309278352,299.4238006216046,303.5188481876883
Kalista,74,0.5135135135135135,2.3984434109434107,7.148648648648648,6.54054054054054,4.783783783783784,432.3032904494606,712.7383453848785
Shyvana,65,0.5230769230769231,4.635204795204795,6.615384615384615,5.553846153846154,8.23076923076923,439.63898307316407,839.8789909410299
